Dati aggregati delle interazioni con i tuoi post organici e sponsorizzati nel corso del tempo. La data indica quando i tuoi post sono stati visualizzati dagli utenti LinkedIn. La data è posticipata di un massimo di 2 giorni. Tutte le date e gli orari sono nel fuso orario UTC.;;;;;;;;;;;;;;;;;;;
Data;Impressioni (organiche);Impressioni (sponsorizzate);Impressioni (totale);Impressioni uniche (organiche);Clic (organici);Clic (sponsorizzati);Clic (totale);Reazioni (organiche);Reazioni (sponsorizzate);Reazioni (totale);Commenti (organici);Commenti (sponsorizzati);Commenti (totale);Diffusioni post (organiche);Diffusioni post (sponsorizzate);Diffusioni post (totali);Percentuale di interesse (organico);Percentuale di interesse (sponsorizzato);Percentuale di interesse (totale)
02/20/2026;325;0;325;111;28;0;28;11;0;11;0;0;0;1;0;1;0,123076923076923;0;0,123076923076923
02/21/2026;73;0;73;38;4;0;4;4;0;4;0;0;0;0;0;0;0,10958904109589;0;0,10958904109589
02/22/2026;55;0;55;31;4;0;4;1;0;1;0;0;0;0;0;0;0,0909090909090909;0;0,0909090909090909
02/23/2026;86;0;86;36;16;0;16;1;0;1;0;0;0;0;0;0;0,197674418604651;0;0,197674418604651
02/24/2026;82;0;82;22;4;0;4;3;0;3;3;0;3;0;0;0;0,121951219512195;0;0,121951219512195
02/25/2026;250;0;250;183;17;0;17;17;0;17;2;0;2;0;0;0;0,144;0;0,144
02/26/2026;365;0;365;200;59;0;59;6;0;6;0;0;0;0;0;0;0,178082191780822;0;0,178082191780822
02/27/2026;139;0;139;82;10;0;10;3;0;3;0;0;0;0;0;0;0,0935251798561151;0;0,0935251798561151
02/28/2026;116;0;116;83;0;0;0;4;0;4;0;0;0;0;0;0;0,0344827586206897;0;0,0344827586206897
03/01/2026;134;0;134;84;3;0;3;2;0;2;0;0;0;0;0;0;0,0373134328358209;0;0,0373134328358209
03/02/2026;228;0;228;106;19;0;19;1;0;1;0;0;0;0;0;0;0,087719298245614;0;0,087719298245614
03/03/2026;240;0;240;108;21;0;21;9;0;9;1;0;1;2;0;2;0,1375;0;0,1375
03/04/2026;291;0;291;113;88;0;88;11;0;11;4;0;4;1;0;1;0,357388316151203;0;0,357388316151203
03/05/2026;283;0;283;78;2;0;2;6;0;6;1;0;1;0;0;0;0,0318021201413428;0;0,0318021201413428
03/06/2026;195;0;195;111;82;0;82;6;0;6;0;0;0;0;0;0;0,451282051282051;0;0,451282051282051
03/07/2026;172;0;172;105;34;0;34;9;0;9;0;0;0;0;0;0;0,25;0;0,25
03/08/2026;72;0;72;48;6;0;6;2;0;2;0;0;0;0;0;0;0,111111111111111;0;0,111111111111111
03/09/2026;87;0;87;58;7;0;7;4;0;4;1;0;1;0;0;0;0,137931034482759;0;0,137931034482759
03/10/2026;112;0;112;61;5;0;5;-2;0;-2;-1;0;-1;0;0;0;0,0178571428571429;0;0,0178571428571429
03/11/2026;111;0;111;45;90;0;90;4;0;4;0;0;0;0;0;0;0,846846846846847;0;0,846846846846847
03/12/2026;71;0;71;42;13;0;13;4;0;4;0;0;0;0;0;0;0,23943661971831;0;0,23943661971831
03/13/2026;97;0;97;48;12;0;12;6;0;6;0;0;0;0;0;0;0,185567010309278;0;0,185567010309278
03/14/2026;102;0;102;46;50;0;50;12;0;12;0;0;0;0;0;0;0,607843137254902;0;0,607843137254902
03/15/2026;57;0;57;37;11;0;11;2;0;2;0;0;0;0;0;0;0,228070175438596;0;0,228070175438596
03/16/2026;109;0;109;60;28;0;28;15;0;15;0;0;0;0;0;0;0,394495412844037;0;0,394495412844037
03/17/2026;65;0;65;35;8;0;8;7;0;7;0;0;0;0;0;0;0,230769230769231;0;0,230769230769231
03/18/2026;193;0;193;114;32;0;32;14;0;14;2;0;2;0;0;0;0,248704663212435;0;0,248704663212435
03/19/2026;261;0;261;169;49;0;49;13;0;13;2;0;2;1;0;1;0,24904214559387;0;0,24904214559387
03/20/2026;233;0;233;110;44;0;44;12;0;12;2;0;2;0;0;0;0,248927038626609;0;0,248927038626609
03/21/2026;111;0;111;63;9;0;9;6;0;6;0;0;0;0;0;0;0,135135135135135;0;0,135135135135135
03/22/2026;44;0;44;33;18;0;18;2;0;2;0;0;0;0;0;0;0,454545454545455;0;0,454545454545455
03/23/2026;129;0;129;35;17;0;17;8;0;8;2;0;2;0;0;0;0,209302325581395;0;0,209302325581395
03/24/2026;83;0;83;32;8;0;8;1;0;1;0;0;0;0;0;0;0,108433734939759;0;0,108433734939759
03/25/2026;39;0;39;24;1;0;1;5;0;5;0;0;0;0;0;0;0,153846153846154;0;0,153846153846154
03/26/2026;69;0;69;32;2;0;2;8;0;8;0;0;0;0;0;0;0,144927536231884;0;0,144927536231884
03/27/2026;110;0;110;43;2;0;2;6;0;6;0;0;0;0;0;0;0,0727272727272727;0;0,0727272727272727
03/28/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03/29/2026;13;0;13;6;14;0;14;0;0;0;0;0;0;0;0;0;1,07692307692308;0;1,07692307692308
03/30/2026;87;0;87;22;2;0;2;2;0;2;0;0;0;0;0;0;0,0459770114942529;0;0,0459770114942529
03/31/2026;54;0;54;15;0;0;0;2;0;2;0;0;0;0;0;0;0,037037037037037;0;0,037037037037037
04/01/2026;78;0;78;13;8;0;8;3;0;3;0;0;0;0;0;0;0,141025641025641;0;0,141025641025641
04/02/2026;51;0;51;11;14;0;14;0;0;0;0;0;0;0;0;0;0,274509803921569;0;0,274509803921569
04/03/2026;74;0;74;38;10;0;10;5;0;5;0;0;0;0;0;0;0,202702702702703;0;0,202702702702703
04/04/2026;26;0;26;15;12;0;12;3;0;3;2;0;2;0;0;0;0,653846153846154;0;0,653846153846154
04/05/2026;28;0;28;16;15;0;15;4;0;4;0;0;0;0;0;0;0,678571428571429;0;0,678571428571429
04/06/2026;22;0;22;17;0;0;0;2;0;2;0;0;0;0;0;0;0,0909090909090909;0;0,0909090909090909
04/07/2026;122;0;122;27;37;0;37;2;0;2;2;0;2;1;0;1;0,344262295081967;0;0,344262295081967
04/08/2026;54;0;54;12;12;0;12;3;0;3;3;0;3;1;0;1;0,351851851851852;0;0,351851851851852
04/09/2026;45;0;45;17;10;0;10;1;0;1;0;0;0;0;0;0;0,244444444444444;0;0,244444444444444
04/10/2026;35;0;35;11;0;0;0;2;0;2;0;0;0;0;0;0;0,0571428571428571;0;0,0571428571428571
04/11/2026;15;0;15;7;2;0;2;0;0;0;0;0;0;0;0;0;0,133333333333333;0;0,133333333333333
04/12/2026;10;0;10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04/13/2026;142;0;142;76;33;0;33;10;0;10;1;0;1;0;0;0;0,309859154929577;0;0,309859154929577
04/14/2026;131;0;131;52;8;0;8;8;0;8;0;0;0;0;0;0;0,122137404580153;0;0,122137404580153
04/15/2026;31;0;31;21;5;0;5;3;0;3;0;0;0;0;0;0;0,258064516129032;0;0,258064516129032
04/16/2026;86;0;86;48;17;0;17;1;0;1;0;0;0;0;0;0;0,209302325581395;0;0,209302325581395
04/17/2026;25;0;25;19;0;0;0;3;0;3;0;0;0;0;0;0;0,12;0;0,12
