"Inizio dei report","Fine dei report","Nome dell'inserzione","Pubblicazione dell'inserzione","Impostazione di attribuzione",Risultati,"Indicatore di risultato",Copertura,Frequenza,"Costo per risultati","Budget del gruppo di inserzioni","Tipo di budget del gruppo di inserzioni","Importo speso (EUR)",Fine,"Valutazione della qualità","Valutazione del tasso di coinvolgimento","Classificazione tasso di conversione",Impression,"CPM (costo per 1000 impression) (EUR)","Clic sul link",shop_clicks,"CPC (costo per clic sul link) (EUR)","CTR (tasso di clic sul link)","Clic (tutti)","CTR (tutti)","CPC (tutti i clic) (EUR)","Visualizzazioni della pagina di destinazione","Costo per visualizzazione della pagina di destinazione (EUR)","Visite al profilo Instagram","Follower di Instagram","Interazione con la Pagina","Acquisto BEAM","Costo per tipo di azione Acquisto BEAM","Inizio acquisto BEAM","Costo per tipo di azione Inizio acquisto BEAM","Lead Report BEAM","Costo per tipo di azione Lead Report BEAM","Nome della campagna","Nome del gruppo di inserzioni"
2025-11-01,2026-05-31,"creative - Copia",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",117,actions:offsite_conversion.custom.2621245911592027,20163,2.023211,2.35213675,10,Giornaliero,275.2,"In corso",-,-,-,40794,6.74609,427,,0.644496,1.046723,567,1.38991,0.485362,378,0.728042,110,22,821,,,,,1,275.2,"[MACC] BEAM | Lead | Lead Magnet","CALDI IT - creative"
2025-11-01,2026-05-31,"creative - Copia 3",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",142,actions:offsite_conversion.custom.2621245911592027,18876,2.427686,2.13232394,10,Giornaliero,302.79,"In corso",-,-,-,45825,6.607529,584,,0.518476,1.274414,998,2.177851,0.303397,500,0.60558,60,14,904,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","CALDI IT - creative"
2025-11-01,2026-05-31,"creative - Copia 5",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",1,actions:offsite_conversion.custom.2621245911592027,1520,1.211842,14.85,10,Giornaliero,14.85,"In corso",-,-,-,1842,8.061889,15,,0.99,0.814332,21,1.140065,0.707143,14,1.060714,3,1,22,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","CALDI IT - creative"
2025-11-01,2026-05-31,"creative - Copia 2",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",18,actions:offsite_conversion.custom.2621245911592027,3340,1.636228,2.28055556,10,Giornaliero,41.05,"In corso",-,-,-,5465,7.511436,75,,0.547333,1.37237,121,2.21409,0.339256,61,0.672951,27,3,125,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","CALDI IT - creative"
2025-11-01,2026-05-31,"creative - Copia 4",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,810,1.218519,,10,Giornaliero,8.37,"In corso",-,-,-,987,8.480243,12,,0.6975,1.215805,15,1.519757,0.558,9,0.93,4,0,21,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","CALDI IT - creative"
2025-11-01,2026-05-31,creative,not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",2,actions:offsite_conversion.custom.2621245911592027,1107,1.142728,4.165,0.87,Giornaliero,8.33,"In corso",-,-,-,1265,6.58498,9,,0.925556,0.711462,12,0.948617,0.694167,5,1.666,3,1,16,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","BROAD EN - creative"
2025-11-01,2026-05-31,"creative - Copia",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,155,1.225806,,0.87,Giornaliero,1.23,"In corso",-,-,-,190,6.473684,10,,0.123,5.263158,11,5.789474,0.111818,6,0.205,0,0,10,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","BROAD EN - creative"
2025-11-01,2026-05-31,"creative - Copia 2",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,125,1.176,,0.87,Giornaliero,1.18,"In corso",-,-,-,147,8.027211,,,,,0,0,0,,,0,0,1,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","BROAD EN - creative"
2025-11-01,2026-05-31,"creative - Copia 3",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,67,1.044776,,0.87,Giornaliero,0.82,"In corso",-,-,-,70,11.714286,1,,0.82,1.428571,1,1.428571,0.82,1,0.82,0,0,1,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","BROAD EN - creative"
2025-11-01,2026-05-31,"creative - Copia 4",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",1,actions:offsite_conversion.custom.2621245911592027,592,1.108108,5.59,0.87,Giornaliero,5.59,"In corso",-,-,-,656,8.521341,21,,0.26619,3.20122,17,2.591463,0.328824,14,0.399286,0,0,21,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","BROAD EN - creative"
